OBJECTID,Moose density 2016,Moose density 2017,Elk density 2016,Elk density 2017,Moose catchability 2016,Moose catchability+density 2016,Moose catchability 2017,Moose catchability+density 2017,Elk catchability 2016,Elk catchability+density 2016,Elk catchability 2017,Elk catchability+density 2017
205,0,0,4.1666698,4.1666698,0.0134596,0.0232812,0.0052348,0.00329,0.003197,0,0.0024778,0
206,6.25,0,10.4167004,10.4167004,0.0089589,0.0311753,0.0071129,0.0011395,0.0161657,0,0.0035251,0
207,0,0,0,0,0.0119096,0.0164826,0.0059922,0.0032736,0.0033942,0.0030984,0.0028681,0.0034243
208,0,0,0,0,0.0083981,0.0123113,0.0050856,0.0036834,0.002259,0.0005815,0.0009967,0.0008236
209,0,0,0,0,0.0095341,0.0150435,0.0037568,0.0051552,0.0035445,0.0007708,0.0011298,0.0011377
210,0,0,0,0,0.0076721,0.0175493,0.0048839,0.0049357,0.0064189,0.00545,0.0021016,0.002605
211,2.0833299,0,0,0,0.0102735,0.0271703,0.0041686,0.0029423,0.0031449,0.0073465,0.0015388,0.0021703
212,4.1666698,8.3333302,0,0,0.0098652,0.0276096,0.0042093,0.0049095,0.0054187,0.0097048,0.0018991,0.003395
213,0,0,0,0,0.0190182,0.0298757,0.0043361,0.0045506,0.0014825,0.0033399,0.0020615,0.0043158
214,8.3333302,4.1666698,0,0,0.0295217,0.0552092,0.0040195,0.0191466,0.0175359,0.0061875,0.0157193,0.0248478
215,6.25,8.3333302,0,0,0.0147805,0.0085856,0.0067334,0.0177803,0.0057154,0.0108271,0.0069839,0.0162561
216,0,2.0833299,0,0,0.0139481,0.0098467,0.0145806,0.0099617,0.0068218,0.0077523,0.0055759,0.0030486
217,4.1666698,0,0,0,0.0143484,0.0112132,0.0107745,0.0095683,0.005152,0.0079345,0.0038689,0.0029948
218,0,0,0,0,0.0101649,0.0166026,0.0054683,0.0060077,0.0042431,0.0007786,0.0016633,0.0011146
219,0,0,4.1666698,0,0.0152401,0.022539,0.0065464,0.0057793,0.0058419,0,0.0043963,0.0047799
220,2.0833299,2.0833299,0,0,0.021019,0.0095467,0.0117319,0.0181238,0.0224666,0.0123012,0.0260678,0.0306848
221,2.0833299,2.0833299,0,0,0.0102299,0.0116441,0.0058957,0.0050635,0.0037483,0.0006724,0.001766,0.0012484
222,2.0833299,2.0833299,0,0,0.0109505,0.0157927,0.007317,0.0035249,0.009516,0.004708,0.0048863,0.0043659
223,0,0,0,0,0.0151616,0.0283747,0.0053146,0.0024404,0.0031426,0.0022519,0.0025512,0.0031004
224,2.0833299,2.0833299,0,0,0.0019638,0.0000232,0.0052581,0.0106856,0.008353,0.0145333,0.0045239,0.0102317
225,0,0,16.6667004,16.6667004,0.0137127,0.0186931,0.0049793,0.005379,0.0029641,0,0.0024839,0
