FID,Count,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Trail_D,Water_D,Ruggedness,Stream_D
5157,0,2017,0,0,0,0.0738255,0,8.3038902,6.23809,8.2426901,6.8991699,6.29954,11,6.6214099
5158,0,2017,0,0.0939597,0,0.610738,0,8.2577696,5.6021199,8.1146297,6.5875301,6.6758499,4,6.5815101
5159,0,2017,0,0,0,0.738255,0,8.22544,5.3619099,8.0244303,6.76964,6.6955199,7,6.2432299
5160,0,2017,0,0,0.234899,0.281879,0,8.0590897,0,8.1209898,6.1835999,5.71207,11,6.8123102
5161,0,2017,0,0.0738255,0.637584,0.201342,0,7.8750901,3.43399,8.1113901,3.43399,6.91717,1,5.7680202
5162,0,2017,0,0.134228,0.644295,0.161074,0,7.9102502,3.43399,8.0576,5.8603802,6.5381398,3,4.1108699
5163,0,2017,0,0.0067114,0,0.033557,0,7.7365899,5.3619099,8.2269897,6.5683498,7.1698799,11,5.6490402
5164,0,2017,0,0,0,0,0,7.84865,6.21521,8.2171803,7.0633101,7.0659399,4,5.6082301
5165,0,2017,0,0,0,0.0201342,0,7.9639902,6.08178,8.22155,7.4011402,6.9345498,4,5.3094902
5166,0,2017,0,0,0.033557,0,0,8.0325098,0,8.4717302,7.8282099,6.5683498,1,6.36904
5167,0,2017,0,0,0.0067114,0,0,8.1687098,4.9064898,8.5074196,8.0085497,5.9687099,2,6.7294698
5168,0,2017,0,0,0.174497,0,0,8.3601503,3.43399,8.6999903,8.3071604,6.69345,2,6.8684602
5169,0,2017,0,0,0,0.0067114,0,8.4579802,5.6919298,8.73417,8.4092302,6.8776398,10,6.7702398
5170,0,2017,0,0.0268456,0.100671,0.328859,0,8.6806297,4.8542099,8.7487097,8.6910696,5.6970401,2,6.8084798
5171,0,2017,0,0,0.0134228,0,0,8.8095703,5.2508898,8.7991104,8.8259401,5.9687099,1,6.69206
5172,0,2017,0,0,0.0738255,0,0,8.9075603,4.45263,8.68116,8.9328098,5.0172801,5,5.9945798
5173,0,2017,0,0,0,0.389262,0.221477,9.052,5.8603802,8.4698601,9.0785398,6.2363701,0,6.5314898
5174,0,2017,0,0,0.187919,0,0,9.17068,4.82586,8.1824303,9.2028303,0,0,5.9191098
5175,0,2017,0,0,0.241611,0,0,9.2160702,3.43399,8.10532,9.2442398,5.0172801,1,5.3094902
5176,0,2017,0,0,0,0.147651,0,9.2410097,5.9687099,7.9446802,9.2763205,6.4937501,1,6.5745301
5177,0,2017,0,0,0.228188,0,0,9.3546104,4.1108699,7.4405098,9.38661,5.9059,0,6.3833899
5178,0,2017,0,0,0.865772,0,0.0671141,6.49786,4.5629802,8.8439198,9.2065897,5.4925199,0,4.6928701
5179,0,2017,0,0,0.114094,0.0469799,0,6.7576199,0,8.7541199,9.1979399,6.1835999,7,3.43399
5180,0,2017,0,0,0.120805,0.0067114,0.0201342,6.9675899,0,8.7684402,9.1745796,6.6409898,1,5.5570998
5181,0,2017,0,0.214765,0,0.697987,0,5.8183298,5.4608898,8.8101501,9.12111,6.5149598,2,5.3814301
5182,0,2017,0,0.0671141,0,0.416107,0,5.7071099,5.7680202,8.8364401,9.1018896,6.87572,2,5.3094902
5183,0,2017,0,0.208054,0.154362,0.0604027,0.33557,5.0910201,4.2207098,8.8846102,9.0774603,5.5434499,11,4.6928701
5184,0,2017,0,0.0536913,0.0604027,0.0671141,0,4.1108699,5.0172801,8.9064302,9.0661097,5.6970401,1,5.9191098
5185,0,2017,0,0.0067114,0.255034,0.0469799,0,5.9716501,3.77107,8.9247599,9.0531101,6.0138202,0,6.28722
5186,0,2017,0,0,0.637584,0,0.315436,7.30338,3.43399,8.9465103,9.0438499,5.0172801,0,7.0643001
5187,0,2017,0,0,0.966443,0,0.033557,7.30866,4.8542099,8.95576,9.0430098,5.3814301,0,7.1863999
