FID,Month,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Stream_D,Trail_D,Water_D,Ruggedness,M_Density
264,0,2017,0,0,0.0671141,0,0,9.3377705,4.51086,5.7680202,7.0067701,9.41078,6.1758699,2,0
265,0,2017,0,0,0.0067114,0,0,9.2853003,4.1108699,6.5419002,7.3380799,9.3626003,4.51086,4,4.1666698
266,0,2017,0,0,0,0,0,9.2301502,5.9414201,6.67871,7.6212001,9.3122196,6.3145299,4,0
267,0,2017,0,0,0.0067114,0,0,9.1720505,4.82586,6.8982601,7.67416,9.2594604,5.2508898,4,0
268,0,2017,0,0,0,0,0,9.1107101,5.8062201,6.86797,7.4871302,9.2041302,6.3404298,4,0
269,0,2017,0,0,0.0604027,0,0,9.0458202,5.0172801,6.86797,7.2799802,9.1460199,5.35186,2,0
270,0,2017,0,0,0.194631,0,0,8.9770002,0,6.9302602,7.0444798,9.0848999,4.9064898,0,0
271,0,2017,0,0,0.295302,0,0,8.9038601,3.43399,6.9699798,6.5745301,9.0205402,6.5840902,1,0
272,0,2017,0,0,0.449664,0,0,8.8259897,0,7.0833602,5.7361498,8.9527302,7.18718,4,0
273,0,2017,0,0.033557,0.0604027,0,0,8.7429705,4.1108699,6.6455798,4.45263,8.8812504,7.56109,11,0
274,0,2017,0,0,0.637584,0,0,8.6544304,4.1108699,6.3473902,5.98037,8.8059797,7.3204398,2,0
275,0,2017,0,0,0.0872483,0,0,7.6311498,4.8542099,5.71207,6.3130498,8.1291504,6.87572,0,0
276,0,2017,0,0,0,0,0,7.83951,5.3619099,6.5493398,5.3909101,8.2885904,5.9414201,1,0
277,0,2017,0,0,0.33557,0,0,8.0261602,3.43399,7.1444502,5.4357901,8.4268503,5.5959301,1,2.0833299
278,0,2017,0,0,0.147651,0.0067114,0,7.9914799,3.43399,7.5258698,3.43399,8.5487499,6.6332502,4,0
279,0,2017,0,0,0.033557,0,0,7.7725902,5.0172801,7.8036199,5.8378801,8.65767,6.8913202,1,4.1666698
280,0,2017,0,0,0.100671,0,0,7.4988699,4.82586,7.9304399,6.10252,8.7560701,6.73523,1,0
281,0,2017,0,0,0,0,0,7.1307998,5.8923302,7.9281101,6.29496,8.8457699,6.5419002,2,0
282,0,2017,0,0.0067114,0,0,0,6.5295701,5.3814301,7.9252901,6.2825198,8.9281702,5.6490402,0,0
283,0,2017,0,0,0.187919,0,0,4.82586,3.43399,7.8912201,4.51086,9.0043602,5.3909101,3,0
284,0,2017,0,0,0.127517,0,0,6.1114702,3.43399,7.9061098,0,9.0752001,6.5419002,9,0
285,0,2017,0,0,0,0.0067114,0,3.43399,6.2483101,7.96595,6.36904,9.1413803,7.1533499,1,4.1666698
