FID,Count,Year,Used,ConBog,MarshGrass,Mixedwood,Opendec,BTrail_D,Edge_D,Road_D,Trail_D,Water_D,Ruggedness,Stream_D
5468,0,2017,0,0,0.0201342,0.0067114,0,6.6671801,4.5629802,8.47896,9.3399496,7.08145,1,6.9871802
5469,0,2017,0,0,0,0.0134228,0,6.8699198,5.4608898,8.4586496,9.3441401,7.1928101,2,6.5840902
5470,0,2017,0,0.0134228,0,0.120805,0,7.1511402,6.0576701,8.4318504,9.3640203,6.6989498,3,3.43399
5471,0,2017,0,0,0.0671141,0,0,5.5959301,4.6928701,8.5339298,9.2832804,6.81881,1,6.1778102
5472,0,2017,0,0,0,0,0,6.0527101,5.4847999,8.51966,9.2694502,6.3460002,2,6.8084798
5473,0,2017,0,0,0.0402685,0,0,5.8603802,5.1985002,8.5685701,9.2074499,5.3619099,2,7.4884
5474,0,2017,0,0,0.805369,0,0,6.5295701,4.1108699,8.6628199,9.0608702,5.35186,1,6.2005801
5475,0,2017,0,0,0.422819,0,0,6.35289,3.43399,8.5640097,8.86619,6.1136799,4,0
5476,0,2017,0,0.0402685,0.577181,0.100671,0,7.05196,3.43399,8.3601503,8.5990696,5.35186,3,5.4608898
5477,0,2017,0,0,0.731544,0.194631,0,5.0172801,0,7.9040899,7.5616999,5.0172801,0,6.3583298
5478,0,2017,0,0,0.0067114,0,0,6.2415199,5.0367599,7.8021202,6.65835,6.5521002,1,6.9438601
5479,0,2017,0,0,0.322148,0,0,5.0172801,0,7.9007602,4.7957902,6.86797,1,6.5295701
5480,0,2017,0,0,0,0,0,4.45263,5.4357901,7.8450699,4.2207098,6.84655,1,5.6021199
5481,0,2017,0,0,0.033557,0,0,6.98564,4.51086,8.11168,7.6856999,6.9324098,4,6.9611502
5482,0,2017,0,0,0.0134228,0,0,6.9707799,5.2121201,8.0109301,7.7100701,6.4096999,1,6.6605701
5483,0,2017,0,0.33557,0.355705,0.033557,0,7.6433902,3.43399,7.9952202,6.9425998,5.8021202,3,4.1108699
5484,0,2017,0,0.0872483,0.0469799,0.120805,0,7.0482402,4.7957902,7.92764,5.7500601,7.39148,3,5.7810798
5485,0,2017,0,0,0,0,0,7.2174001,6.29496,8.15452,6.5521002,7.3875299,5,4.8542099
5486,0,2017,0,0.409396,0.033557,0.114094,0,6.9149599,4.9064898,8.2464199,3.43399,6.9794402,4,6.0001602
5487,0,2017,0,0.604027,0.0805369,0.174497,0.14094,6.3174801,4.7957902,8.2795496,6.3305202,6.6332502,0,5.0172801
5488,0,2017,0,0,0,0.0201342,0,6.7091098,5.6261301,8.3487797,7.26302,6.1519098,19,6.2432299
5489,0,2017,0,0,0,0.0201342,0,7.0220599,5.8923302,8.2600698,7.5419598,6.2363701,6,6.6955199
5490,0,2017,0,0,0.0402685,0,0,8.2785101,5.0172801,8.1801796,8.44139,6.0138202,3,5.9716501
5491,0,2017,0,0,0,0.0134228,0,8.3712397,5.3814301,8.1020203,8.5265102,5.8640299,8,6.3130498
5492,0,2017,0,0,0,0.255034,0,8.6126699,5.3814301,8.2369204,8.72999,6.6758499,10,5.0367599
5493,0,2017,0,0,0.14094,0,0,8.8736401,3.43399,8.2766504,8.9679604,0,0,3.43399
5494,0,2017,0,0,0.308725,0,0,8.92834,3.43399,8.3565903,9.0146103,4.2207098,0,6.3145299
5495,0,2017,0,0,0.0201342,0,0,9.0713396,5.0172801,8.2842503,9.1516895,5.6082301,3,7.0472102
5496,0,2017,0,0,0.362416,0,0.322148,9.2792797,4.51086,7.73246,9.3445797,0,0,6.3070898
5497,0,2017,0,0,0.409396,0,0.0738255,9.3852501,3.43399,6.99933,9.4447203,5.2121201,2,6.2363701
5498,0,2017,0,0,0.161074,0,0,6.1519098,0,7.9188399,7.9225202,5.1700802,1,5.6261301
5499,0,2017,0,0.0134228,0.563758,0.409396,0,5.6970401,3.77107,7.83495,7.3235898,5.0172801,1,6.84092
5500,0,2017,0,0.0268456,0.389262,0.147651,0,3.43399,3.77107,7.91537,7.01302,5.6546102,0,6.5419002
5501,0,2017,0,0,0,0,0,6.1758699,5.3619099,7.8000002,6.1114702,6.0349398,0,7.03827
5502,0,2017,0,0.0134228,0.0402685,0,0,5.5503201,5.0172801,7.8461099,3.43399,5.4608898,0,6.9891
5503,0,2017,0,0.208054,0.134228,0.0536913,0,5.4357901,4.6928701,7.9124799,5.5503201,6.35289,0,6.8230901
5504,0,2017,0,0,0.0134228,0,0,5.0367599,4.51086,7.85957,5.0172801,6.8991699,2,4.9064898
5505,0,2017,0,0,0,0,0,4.5629802,5.6261301,7.9945598,6.27777,6.7720098,1,5.8923302
5506,0,2017,0,0,0.100671,0,0,4.5629802,4.6928701,8.1793299,7.0833602,5.4925199,8,6.55302
5507,0,2017,0,0,0,0,0,5.7071099,5.7071099,8.1082602,7.2279601,6.5099902,2,7.1164699
5508,0,2017,0,0,0,0,0,6.5381398,5.7680202,8.1651096,7.5028501,6.6765699,2,7.0523
5509,0,2017,0,0,0.0067114,0,0,7.3930202,5.0172801,8.0894699,7.45714,6.0722799,9,6.5566702
5510,0,2017,0,0,0.127517,0,0,7.3607798,4.5629802,7.9342098,7.34582,5.0367599,3,5.0910201
5511,0,2017,0,0.90604,0.0939597,0,0,7.5438499,4.6928701,7.95543,6.6117301,6.1835999,0,5.2631798
5512,0,2017,0,0.879195,0.0469799,0.0201342,0,7.14079,4.9064898,7.9019299,6.12675,7.1167698,0,5.5570998
5513,0,2017,0,0.0067114,0,0.0536913,0,7.2556601,5.5503201,8.0599899,5.4608898,7.42202,16,6.19311
5514,0,2017,0,0,0.0134228,0,0,7.12994,4.9064898,8.1931801,6.9554501,7.33214,4,5.1399398
5515,0,2017,0,0,0,0.0536913,0,7.34582,5.7361498,8.2321701,6.7737799,7.1261702,1,6.0426302
5516,0,2017,0,0.295302,0.704698,0,0,6.4416099,4.1108699,8.2190399,5.9191098,6.5840902,0,3.77107
5517,0,2017,0,0.563758,0.033557,0.127517,0.275168,6.4518099,5.0172801,8.3039703,5.6919298,6.8362598,0,3.77107
5518,0,2017,0,0,0.208054,0,0,4.5629802,4.5629802,8.3271399,6.6455798,7.1182499,2,3.43399
5519,0,2017,0,0,0,0.0067114,0,6.0527101,5.2631798,8.3714399,6.9345498,6.7720098,13,5.1399398
5520,0,2017,0,0,0,0,0,7.5779901,6.1778102,8.2157602,7.8951702,6.29954,21,6.5188999
5521,0,2017,0,0,0,0,0,7.9196701,6.5815101,8.2622004,8.14079,6.62854,8,0
5522,0,2017,0,0,0,0.0067114,0,8.1645699,5.8378801,8.1697903,8.3558197,6.6955199,9,4.8542099
5523,0,2017,0,0,0.0939597,0.0738255,0,8.4601002,4.1108699,8.2076397,8.5953302,5.6021199,2,6.2632599
5524,0,2017,0,0,0,0.281879,0,8.5371904,6.1758699,8.1110697,8.66994,6.6237998,16,4.1108699
5525,0,2017,0,0,0,0.0134228,0,8.6848898,5.2631798,8.2094402,8.8018103,6.12675,2,6.3487701
5526,0,2017,0,0,0,0,0,8.7548304,5.3619099,8.2928104,8.8613701,5.9414201,1,6.42414
5527,0,2017,0,0,0.120805,0.0067114,0,8.8174496,4.1108699,8.2355003,8.9180002,5.1700802,5,5.98037
5528,0,2017,0,0,0.261745,0,0,8.9775295,3.43399,8.2919102,9.06182,0,0,6.6671801
5529,0,2017,0,0,0,0,0,9.0266104,5.4925199,8.3430996,9.1052904,5.9716501,1,7.02847
5530,0,2017,0,0,0.181208,0,0,9.1183395,4.2207098,8.2086,9.1929398,6.0138202,2,7.27005
5531,0,2017,0,0,0,0,0,9.1606102,5.5503201,8.1464596,9.2307596,6.5029502,2,7.2610202
5532,0,2017,0,0,0.174497,0,0.194631,9.3175201,4.1108699,7.5321102,9.3785601,5.7810798,2,6.2825198
5533,0,2017,0,0,0.100671,0,0.66443,9.3523397,4.6928701,7.2945299,9.4127903,5.3094902,2,6.1114702
5534,0,2017,0,0.0134228,0.147651,0.114094,0,5.7680202,4.5629802,8.2999001,9.4250202,5.3619099,2,5.2631798
5535,0,2017,0,0.0067114,0.194631,0.100671,0,0,4.1108699,8.28022,9.4435301,6.21521,3,6.0001602
5536,0,2017,0,0,0,0.0268456,0,3.77107,5.7500601,8.2692499,9.4112301,6.5566702,3,5.7071099
5537,0,2017,0,0,0,0,0,6.6758499,5.9414201,8.3198204,9.38272,6.2415199,1,6.3583298
5538,0,2017,0,0,0,0.0134228,0,6.1310301,6.8490901,8.3751097,9.3682804,7.1433301,3,6.8987098
5539,0,2017,0,0,0,0,0,6.29954,6.4748302,8.4205999,9.36131,7.1410699,5,6.9060001
5540,0,2017,0,0,0,0,0,6.4484401,5.7680202,8.4636402,9.3528004,7.08145,2,6.9699798
5541,0,2017,0,0,0,0.0067114,0,6.9354,5.4608898,8.4512901,9.3470497,6.9078002,2,6.2432299
5542,0,2017,0,0,0.0268456,0,0,7.01302,5.0910201,8.4679098,9.3458996,6.5883799,1,5.0910201
5543,0,2017,0,0,0,0,0,6.6700902,6.0138202,8.5012703,9.3392897,6.45961,1,6.12675
5544,0,2017,0,0.0201342,0.0872483,0.409396,0,6.2363701,4.7957902,8.4539299,9.3314695,7.2164302,4,5.0172801
